descricao;energia_kcal;proteina_g;lipideos_g;colesterol_mg;carboidratos_g;fibra_g;calcio_mg;fosforo_mg;ferro_mg;sodio_mg;potassio_mg;vitamina_c_mg;tipo_alimento
Jamelão, cru;41;0,5;0,1;NA;10,6;1,8;3;4;0,0;1;394;27,1;3
Kiwi, cru;51;1,3;0,6;NA;11,5;2,7;24;33;0,3;Tr;269;70,8;3
Laranja, baía, crua;45;1,0;0,1;NA;11,5;1,1;35;24;0,1;Tr;174;56,9;3
Laranja, baía, suco;37;0,7;Tr;NA;8,7;Tr;6;22;0,1;Tr;173;94,5;3
Laranja, da terra, crua;51;1,1;0,2;NA;12,9;4,0;51;20;0,1;1;173;34,7;3
Laranja, da terra, suco;41;0,7;0,1;NA;9,6;1,0;13;15;0,1;Tr;145;44,3;3
Laranja, lima, crua;46;1,1;0,1;NA;11,5;1,8;31;15;0,1;1;130;43,5;3
Laranja, lima, suco;39;0,7;0,1;NA;9,2;0,4;8;16;Tr;Tr;129;41,3;3
Laranja, pêra, crua;37;1,0;0,1;NA;8,9;0,8;22;23;0,1;Tr;163;53,7;3
Laranja, pêra, suco;33;0,7;0,1;NA;7,6;Tr;7;14;Tr;Tr;149;73,3;3
Laranja, valência, crua;46;0,8;0,2;NA;11,7;1,7;34;20;0,1;1;158;47,8;3
Laranja, valência, suco;36;0,5;0,1;NA;8,6;0,4;9;17;Tr;Tr;143;*;3
Limão, cravo, suco;14;0,3;Tr;NA;5,2;Tr;10;11;0,1;Tr;120;32,8;3
Limão, galego, suco;22;0,6;0,1;NA;7,3;Tr;5;13;0,1;Tr;113;34,5;3
Limão, tahiti, cru;32;0,9;0,1;NA;11,1;1,2;51;24;0,2;1;128;38,2;3
Maçã, Argentina, com casca, crua;63;0,2;0,2;NA;16,6;2,0;3;11;0,1;1;117;1,5;3
Maçã, Fuji, com casca, crua;56;0,3;Tr;NA;15,2;1,3;2;9;0,1;Tr;75;2,4;3
Macaúba, crua;404;2,1;40,7;NA;13,9;13,4;67;44;0,8;1;306;13,4;3
 Mamão, doce em calda, drenado;196;0,2;0,1;NA;54,0;1,3;20;4;0,1;3;68;3,9;3
Mamão, Formosa, cru;45;0,8;0,1;NA;11,6;1,8;25;11;0,2;3;222;78,5;3
Mamão, Papaia, cru;40;0,5;0,1;NA;10,4;1,0;22;11;0,2;2;126;82,2;3
 Mamão verde, doce em calda, drenado;209;0,3;0,1;NA;57,6;1,2;12;3;0,2;5;9;Tr;3
Manga, Haden, crua;64;0,4;0,3;NA;16,7;1,6;12;9;0,1;1;148;17,4;3
Manga, Palmer, crua;72;0,4;0,2;NA;19,4;1,6;12;14;0,1;2;157;65,5;3
Manga, polpa, congelada;48;0,4;0,2;NA;12,5;1,1;7;9;0,1;7;131;24,9;3
Manga, Tommy Atkins, crua;51;0,9;0,2;NA;12,8;2,1;8;14;0,1;Tr;138;7,9;3
Maracujá, cru;68;2,0;2,1;NA;12,3;1,1;5;51;0,6;2;338;19,8;3
Maracujá, polpa, congelada;39;0,8;0,2;NA;9,6;0,5;5;15;0,3;8;228;7,3;3
Maracujá, suco concentrado, envasado;42;0,8;0,2;NA;9,6;0,4;4;14;0,3;22;201;13,7;3
Melancia, crua;33;0,9;Tr;NA;8,1;0,1;8;12;0,2;Tr;104;6,1;3
Melão, cru;29;0,7;Tr;NA;7,5;0,3;3;10;0,2;11;216;8,7;3
Mexerica, Murcote, crua;58;0,9;0,1;NA;14,9;3,1;33;19;0,1;1;159;21,8;3
Mexerica, Rio, crua;37;0,7;0,1;NA;9,3;2,7;17;14;0,1;2;125;112,0;3
Morango, cru;30;0,9;0,3;NA;6,8;1,7;11;22;0,3;Tr;184;63,6;3
Nêspera, crua;43;0,3;Tr;NA;11,5;3,0;20;10;0,1;Tr;113;3,2;3
Pequi, cru;205;2,3;18,0;NA;13,0;19,0;32;34;0,3;Tr;298;8,3;3
Pêra, Park, crua;61;0,2;0,2;NA;16,1;3,0;9;12;0,3;1;102;2,4;3
Pêra, Williams, crua;53;0,6;0,1;NA;14,0;3,0;8;12;0,1;Tr;116;2,8;3
Pêssego, Aurora, cru;36;0,8;Tr;NA;9,3;1,4;3;15;0,2;Tr;124;3,3;3
Pêssego, enlatado, em calda;63;0,7;Tr;NA;16,9;1,0;4;9;0,6;3;95;Tr;3
Pinha, crua;88;1,5;0,3;NA;22,4;3,4;21;34;0,2;1;283;35,9;3
Pitanga, crua;41;0,9;0,2;NA;10,2;3,2;18;13;0,4;2;113;24,9;3
Pitanga, polpa, congelada;19;0,3;0,1;NA;4,8;0,7;8;12;0,4;5;87;Tr;3
Romã, crua;56;0,4;Tr;NA;15,1;0,4;5;40;0,3;1;485;8,1;3
Tamarindo, cru;276;3,2;0,5;NA;72,5;6,4;37;55;0,6;0;723;7,2;3
Tangerina, Poncã, crua;38;0,8;0,1;NA;9,6;0,9;13;12;0,1;Tr;131;48,8;3
Tangerina, Poncã, suco;36;0,5;Tr;NA;8,8;Tr;4;9;Tr;Tr;119;41,8;3
Tucumã, cru;262;2,1;19,1;NA;26,5;12,7;46;53;0,6;4;401;18,0;3
Umbu, cru;37;0,8;Tr;NA;9,4;2,0;12;13;0,1;Tr;152;24,1;3
Umbu, polpa, congelada;34;0,5;0,1;NA;8,8;1,3;11;13;0,2;6;154;4,0;3
Uva, Itália, crua;53;0,7;0,2;NA;13,6;0,9;7;12;0,1;Tr;162;3,3;3
Uva, Rubi, crua;49;0,6;0,2;NA;12,7;0,9;8;23;0,2;8;159;1,9;3
Uva, suco concentrado, envasado;58;Tr;Tr;NA;14,7;0,2;9;10;0,1;10;54;21,0;3
Azeite, de dendê;884;NA;100,0;NA;NA;NA;;;;;;;4
Azeite, de oliva, extra virgem;884;NA;100,0;NA;NA;NA;;;;;;;4
